reference_sequence_name	code	database	original_taxonomic_assignation
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_ChroococcidiopsisPCC6712_AB039004	AB039004	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_ChroococcidiopsisPCC6712_AB602500	AB602500	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_ChroococcidiopsisPCC6712_JX504508	JX504508	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_ChroococcidiopsisPCC6712_KR676351	KR676351	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Chroococcidiopsis
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_MyxosarcinaGI1_JRFE01000052	JRFE01000052	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Myxosarcina
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_AB074511	AB074511	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_AB602501	AB602501	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_DQ293994	DQ293994	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_FJ203411	FJ203411	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_GU117939	GU117939	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_HM799128	HM799128	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_JX504460	JX504460	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_KC525080	KC525080	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_KM019985	KM019985	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_PleurocapsaPCC7319_KM019986	KM019986	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Pleurocapsa
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_StanieriaPCC7437_CP003653	CP003653	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Stanieria
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_XenococcusCRM_JX298773	JX298773	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Xenococcus
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_XenococcusPCC7305_JX504263	JX504263	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Xenococcus
Bacteria_Oxyphotobacteria_Nostocales_Xenococcaceae_XenococcusPCC7305_JX504371	JX504371	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Xenococcaceae;Xenococcus
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_HaloleptolyngbyaKR2005106_JN712770	JN712770	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Haloleptolyngbya
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_HaloleptolyngbyaKR2005106_JN825333	JN825333	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_HalomicronemaC2206_JX089399	JX089399	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Halomicronema
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_HalomicronemaTFEP1_DQ058860	DQ058860	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Halomicronema
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_HalomicronemaTFEP1_KP794049	KP794049	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Halomicronema
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_LeptolyngbyaPCC6406_GQ243430	GQ243430	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Leptolyngbya
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_NodosilineaPCC7104_DQ393278	DQ393278	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_NodosilineaPCC7104_HM127136	HM127136	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_NodosilineaPCC7104_HM217082	HM217082	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_NodosilineaPCC7104_HQ860535	HQ860535	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_NodosilineaPCC7104_KC695831	KC695831	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_NodosilineaPCC7104_KC695849	KC695849	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea
Bacteria_Oxyphotobacteria_Phormidesmiales_Nodosilineaceae_NodosilineaPCC7104_KF798488	KF798488	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_Acrophormium_EU249128	EU249128	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Acrophormium
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_Acrophormium_KM982565	KM982565	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Acrophormium
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidesmisANTLACV51_AF170756	AF170756	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidesmis
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidesmisANTLACV51_FN811228	FN811228	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidesmis
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidesmisANTLACV51_FN811229	FN811229	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidesmis
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidesmisANTLACV51_KJ004405	KJ004405	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidesmis
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidiumMBIC10002_KT951669	KT951669	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidiumMBIC10003_EU196364	EU196364	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidiumMBIC10003_EU249119	EU249119	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidiumMBIC10003_HE975019	HE975019	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidiumMBIC10003_JN440118	JN440118	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidiumMBIC10003_JQ801029	JQ801029	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidiumMBIC10003_JTHE01000084	JTHE01000084	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium
Bacteria_Oxyphotobacteria_Phormidesmiales_Phormidesmiaceae_PhormidiumMBIC10003_KT740999	KT740999	SILVA_SSURef_NR99_128	Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Phormidium
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_PseudanabaenaPCC6802_ALVK01000015	ALVK01000015	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_PseudanabaenaPCC7367_EF110976	EF110976	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_PseudanabaenaPCC7367_JQ927351	JQ927351	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_PseudanabaenaPCC7403_FN984813	FN984813	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_PseudanabaenaPCC7429_AJ580007	AJ580007	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_PseudanabaenaPCC7429_FR667294	FR667294	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_PseudanabaenaPCC7429_FR667376	FR667376	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_PseudanabaenaPCC7429_KM386855	KM386855	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_SynechococcusPCC7502_AB630681	AB630681	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Synechococcus
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_SynechococcusPCC7502_AY151725	AY151725	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Synechococcus
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_SynechococcusPCC7502_AY151732	AY151732	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Synechococcus
Bacteria_Oxyphotobacteria_Pseudanabaenales_Pseudanabaenaceae_SynechococcusPCC7502_FR667443	FR667443	SILVA_SSURef_NR99_128	Oxyphotobacteria;Pseudanabaenales;Pseudanabaenaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AB355041	AB355041	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AB610889	AB610889	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AF216947	AF216947	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AF216951	AF216951	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AF330247	AF330247	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AF330249	AF330249	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AF448061	AF448061	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AJ639899	AJ639899	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AM259222	AM259222	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AM710363	AM710363	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AM710381	AM710381	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_AY224199	AY224199	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_CT978603	CT978603	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_DQ889923	DQ889923	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_EU703327	EU703327	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_EU703463	EU703463	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_FJ184058	FJ184058	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_FJ437767	FJ437767	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_FR667236	FR667236	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_GQ130152	GQ130152	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_HM057705	HM057705	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_HM129686	HM129686	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_HM856503	HM856503	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_JF830199	JF830199	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_JN119058	JN119058	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_JQ062701	JQ062701	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_KC695832	KC695832	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_KC695837	KC695837	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_CyanobiumPCC6307_KP890765	KP890765	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Cyanobium
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusHNLC2_PRJNA67831	PRJNA67831	In-house_database	Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusHNLC2_PRJNA67831
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMED4_PRJNA213	PRJNA213	In-house_database	Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMED4_PRJNA213
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9312_PRJNA13910	PRJNA13910	In-house_database	Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9312_PRJNA13910
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_ADHP01001130	ADHP01001130	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_AF400152	AF400152	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_DQ300621	DQ300621	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_EF573979	EF573979	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_EF575197	EF575197	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_EU802429	EU802429	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_EU803183	EU803183	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_GU061654	GU061654	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_JN166249	JN166249	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_JN166262	JN166262	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_JX441592	JX441592	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusMIT9313_KJ589751	KJ589751	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusNATL1A_PRJNA15660	PRJNA15660	In-house_database	Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_ProchlorococcusNATL1A_PRJNA15660
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9311_PRJNA12530	PRJNA12530	In-house_database	Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9311_PRJNA12530
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9605_PRJNA13643	PRJNA13643	In-house_database	Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9605_PRJNA13643
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_AANP01000006	AANP01000006	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_AY946244	AY946244	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_CP000435	CP000435	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_EF574993	EF574993	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_FJ497746	FJ497746	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_FM995187	FM995187	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_HQ672140	HQ672140	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_HQ672148	HQ672148	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_JN596712	JN596712	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_KC425530	KC425530	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_KF271075	KF271075	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_PRJNA13655	PRJNA13655	In-house_database	Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusCC9902_PRJNA13655
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusSH4_JX206487	JX206487	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus
Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusWH8102_PRJNA230	PRJNA230	In-house_database	Bacteria_Oxyphotobacteria_Synechococcales_Cyanobiaceae_SynechococcusWH8102_PRJNA230
Bacteria_Oxyphotobacteria_Synechococcales_Prochlorotrichaceae_ProchlorothrixPCC9006_ANKN01000130	ANKN01000130	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Prochlorotrichaceae;Prochlorothrix
Bacteria_Oxyphotobacteria_Synechococcales_Prochlorotrichaceae_ProchlorothrixPCC9006_FJ612400	FJ612400	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Prochlorotrichaceae;Prochlorothrix
Bacteria_Oxyphotobacteria_Synechococcales_Prochlorotrichaceae_ProchlorothrixPCC9006_JQ347313	JQ347313	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Prochlorotrichaceae;Prochlorothrix
Bacteria_Oxyphotobacteria_Synechococcales_Synechococcaceae_MicrocystisNIES42_U40335	U40335	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Synechococcaceae;Microcystis
Bacteria_Oxyphotobacteria_Synechococcales_Synechococcaceae_MicrocystisNIES42_U40336	U40336	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Synechococcaceae;Microcystis
Bacteria_Oxyphotobacteria_Synechococcales_Synechococcaceae_SynechococcusPCC7942_AP008231	AP008231	SILVA_SSURef_NR99_128	Oxyphotobacteria;Synechococcales;Synechococcaceae;Synechococcus
